OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0357984
0, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0357984
0, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.017992
0, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.017992
0, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0169184
0, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0169184
0, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0200852
0, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0200852
0, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0210594
0, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0210594
0, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0180289
0, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0180289
0, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0206386
0, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0206386
0, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0196933
0, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0196933
0, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0155165
0, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0155165
0, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0230007
0, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0230007
0, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0233707
0, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0233707
0, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0197976
0, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0197976
0, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.029301
0, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.029301
0, mujets, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0488732
0, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0488732
0, mujets, central, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0474228
0, mujets, down, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0474228
0, mujets, central, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x)))
0, mujets, up, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) + 0.0495317
0, mujets, down, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 1.65936*((1.+(0.546853*x))/(1.+(0.93234*x))) - 0.0495317
1, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0479569
1, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0479569
1, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0279306
1, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0279306
1, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0318744
1, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0318744
1, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0320554
1, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0320554
1, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0316665
1, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0316665
1, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0301609
1, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0301609
1, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0275172
1, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0275172
1, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0267551
1, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0267551
1, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.029527
1, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.029527
1, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0464665
1, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0464665
1, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0465713
1, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0465713
1, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0448391
1, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0448391
1, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0484107
1, mujets, down, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0484107
1, mujets, central, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0657275
1, mujets, down, 0, 0.0, 2.4, 400.0, 500.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0657275
1, mujets, central, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0779454
1, mujets, down, 0, 0.0, 2.4, 500.0, 600.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0779454
1, mujets, central, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x)))
1, mujets, up, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) + 0.0800651
1, mujets, down, 0, 0.0, 2.4, 600.0, 800.0, 0, 1, 0.896758*((1.+(0.11259*x))/(1.+(0.105615*x))) - 0.0800651
2, mujets, central, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0660802
2, mujets, down, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0660802
2, mujets, central, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0299138
2, mujets, down, 0, 0.0, 2.4, 30.0, 40.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0299138
2, mujets, central, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.032965
2, mujets, down, 0, 0.0, 2.4, 40.0, 50.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.032965
2, mujets, central, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0339404
2, mujets, down, 0, 0.0, 2.4, 50.0, 60.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0339404
2, mujets, central, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0362514
2, mujets, down, 0, 0.0, 2.4, 60.0, 70.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0362514
2, mujets, central, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.032763
2, mujets, down, 0, 0.0, 2.4, 70.0, 80.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.032763
2, mujets, central, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0366435
2, mujets, down, 0, 0.0, 2.4, 80.0, 100.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0366435
2, mujets, central, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0380308
2, mujets, down, 0, 0.0, 2.4, 100.0, 120.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0380308
2, mujets, central, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0226763
2, mujets, down, 0, 0.0, 2.4, 120.0, 160.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0226763
2, mujets, central, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0411264
2, mujets, down, 0, 0.0, 2.4, 160.0, 210.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0411264
2, mujets, central, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0391758
2, mujets, down, 0, 0.0, 2.4, 210.0, 260.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0391758
2, mujets, central, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
2, mujets, up, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) + 0.0406139
2, mujets, down, 0, 0.0, 2.4, 260.0, 320.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x))) - 0.0406139
2, mujets, central, 0, 0.0, 2.4, 320.0, 400.0, 0, 1, 0.802128*((1.+(0.024399*x))/(1.+(0.0215834*x)))
